"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что при клике на вопрос открывается правильный ответ","150","Проверка текста ответа на вопрос 1","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка, что при клике на вопрос открывается правильный ответ","164","Проверка текста ответа на вопрос 6","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка, что при клике на вопрос открывается правильный ответ","186","Проверка текста ответа на вопрос 0","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка: при клике на логотип Яндекса в новом окне открывается Дзен","699","Проверка перехода на Дзен по клику на логотип Яндекса","tests","2026-03-28","passed","2026-03-28","TestRedirects","test_redirects","",""
"Проверка, что при клике на вопрос открывается правильный ответ","177","Проверка текста ответа на вопрос 2","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка успешного создания заказа через верхнюю кнопку","2455","Заказ самоката через верхнюю кнопку с данными: {'name': 'Анна', 'surname': 'Смирнова', 'address': 'пр. Мира, д. 25', 'metro_station': 'Маяковская', 'phone': '+79123456789', 'date': '15.12.2024', 'rental_period': 'двое суток', 'color': 'серая безысходность', 'comment': 'Домофон 123'}","tests","2026-03-28","passed","2026-03-28","TestOrder","test_order","",""
"Проверка, что при клике на вопрос открывается правильный ответ","160","Проверка текста ответа на вопрос 5","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка успешного создания заказа через нижнюю кнопку","2554","Заказ самоката через нижнюю кнопку с данными: {'name': 'Иван', 'surname': 'Петров', 'address': 'ул. Ленина, д. 10', 'metro_station': 'Сокольники', 'phone': '+79001234567', 'date': '01.12.2024', 'rental_period': 'сутки', 'color': 'чёрный жемчуг', 'comment': 'Позвонить за 30 минут'}","tests","2026-03-28","passed","2026-03-28","TestOrder","test_order","",""
"Проверка успешного создания заказа через нижнюю кнопку","2428","Заказ самоката через нижнюю кнопку с данными: {'name': 'Анна', 'surname': 'Смирнова', 'address': 'пр. Мира, д. 25', 'metro_station': 'Маяковская', 'phone': '+79123456789', 'date': '15.12.2024', 'rental_period': 'двое суток', 'color': 'серая безысходность', 'comment': 'Домофон 123'}","tests","2026-03-28","passed","2026-03-28","TestOrder","test_order","",""
"Проверка, что при клике на вопрос открывается правильный ответ","178","Проверка текста ответа на вопрос 4","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка: при клике на логотип Самоката происходит переход на главную страницу","300","Проверка перехода на главную страницу по клику на логотип Самоката","tests","2026-03-28","passed","2026-03-28","TestRedirects","test_redirects","",""
"Проверка, что при клике на вопрос открывается правильный ответ","155","Проверка текста ответа на вопрос 7","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
"Проверка успешного создания заказа через верхнюю кнопку","2439","Заказ самоката через верхнюю кнопку с данными: {'name': 'Иван', 'surname': 'Петров', 'address': 'ул. Ленина, д. 10', 'metro_station': 'Сокольники', 'phone': '+79001234567', 'date': '01.12.2024', 'rental_period': 'сутки', 'color': 'чёрный жемчуг', 'comment': 'Позвонить за 30 минут'}","tests","2026-03-28","passed","2026-03-28","TestOrder","test_order","",""
"Проверка, что при клике на вопрос открывается правильный ответ","157","Проверка текста ответа на вопрос 3","tests","2026-03-28","passed","2026-03-28","TestFAQ","test_faq","",""
